id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20939233,Chambre dans une maison au coeur dans jardin.,4675734,Marie,,Ixelles,50.82583,4.36904,Private room,43,2,10,2019-10-23,0.42,6,319
20945267,Comfortable Family house in upper St Gilles,8840719,Gladys,,Saint-Gilles,50.82492,4.34969,Entire home/apt,140,5,4,2018-07-22,0.17,2,0
20951321,Bright townhouse in a green neighbourhood,470589,Jindrich & Veronika,,Schaerbeek,50.86082,4.40099,Entire home/apt,110,60,2,2019-06-30,0.09,1,141
20951937,3bdr. 2bathr. apt  - 8 pers - EU neighbourhood,19293722,Pauline Et Elliot,,Ixelles,50.83774,4.36913,Entire home/apt,130,2,72,2019-11-15,2.75,80,64
20954422,Vcc,119098732,Mehrdad,,Uccle,50.80006,4.36719,Shared room,80,1,0,,,1,0
20975591,Goûtez au luxe dans un magnifique appartement de styliste,41812598,Martine,,Anderlecht,50.83816,4.33151,Entire home/apt,240,5,38,2019-11-06,1.47,6,265
20979555,HOMESTAY - Grande chambre chez l'habitant,50837218,Florence,,Schaerbeek,50.86201,4.38265,Private room,16,90,2,2018-04-27,0.09,2,263
20993799,Charming Apartment in the heart of Brussels,151120399,Bruno,,Ixelles,50.82177,4.35491,Entire home/apt,65,4,2,2018-01-03,0.08,1,0
20995014,PRIVATE ROOM/ BEAUTIFUL SHARED HOUSE - CITY CENTER,148228180,Hedi,,Ixelles,50.83795,4.36488,Private room,30,2,9,2019-03-23,0.34,1,0
21005477,Appartement cosy au centre,49088596,Maelle,,Bruxelles,50.85541,4.3469,Entire home/apt,61,2,24,2019-10-13,0.94,1,7
21007385,Spacious character apt 115m2 Louise Chatelain area,21585729,Emilie,,Ixelles,50.81884,4.36862,Entire home/apt,97,2,20,2019-10-23,0.77,1,48
21016378,Charming Art Deco flat with a bohemian chic touch.,7778158,Romain,,Forest,50.81018,4.31833,Entire home/apt,45,3,18,2019-11-04,0.69,1,2
21017047,Grande chambre dans appartement lumineux,99106813,Gensane,,Saint-Gilles,50.83178,4.34593,Private room,35,1,3,2017-11-14,0.12,1,0
21020158,Modern Apartment of 70m² in the heart of Bruxelles,13028592,Gaelle,,Ixelles,50.83439,4.3677,Entire home/apt,65,3,4,2018-12-16,0.16,1,0
21031751,"5"" of the Atomium. 
20"" of the center of Brussels.",105470485,Filiz,,Bruxelles,50.88877,4.34137,Entire home/apt,39,2,52,2019-11-03,2.01,1,150
21034157,Spacious room in the heart of brussels,7671122,Efrat,,Ixelles,50.82962,4.37978,Private room,21,5,4,2019-06-25,0.15,1,0
21035790,Private attic  room for one or two people,51975155,Elena,,Bruxelles,50.8789,4.34736,Private room,22,1,19,2019-11-18,8.64,2,32
21038484,"Duplex Flat Brussels, Rue des Capucins (37-3G)",148363463,Simon,,Bruxelles,50.83865,4.349,Entire home/apt,43,90,0,,,13,322
21042510,Flat centre of Brussels - rue des Capucins (37-1D),148363463,Simon,,Bruxelles,50.83731,4.34691,Entire home/apt,35,30,3,2019-09-08,0.15,13,227
21048176,Appartement full équipé idéalement situé,6768351,Vanessa,,Saint-Gilles,50.82531,4.35137,Entire home/apt,65,2,81,2019-11-11,3.13,1,291
21051887,Happy studio near Grand Place 1,42832143,Antoine,,Bruxelles,50.84514,4.35407,Entire home/apt,69,1,221,2019-11-17,8.45,19,270
21052562,Happy studio near Grand Place 2,42832143,Antoine,,Bruxelles,50.84589,4.35372,Entire home/apt,69,1,209,2019-11-18,7.99,19,206
21052756,Happy studio near Grand Place 3,42832143,Antoine,,Bruxelles,50.84738,4.35319,Entire home/apt,69,1,191,2019-11-18,7.30,19,300
21053927,Bright renovated apartment,6202471,Bart,,Ixelles,50.82984,4.37258,Entire home/apt,40,4,10,2018-01-27,0.38,1,26
21059247,2 bedroom  apt (3 adults) green part of brussels,151725319,Sue,,Forest,50.82301,4.3324,Entire home/apt,60,2,73,2019-11-16,3.03,1,313
21060381,Beautiful flat near Grand Place,42832143,Antoine,,Bruxelles,50.84535,4.35339,Entire home/apt,79,1,241,2019-11-18,9.23,19,0
21066709,Spacious & fully equipped apartment. Near Flagey,135097436,Simon,,Ixelles,50.82811,4.37804,Entire home/apt,56,2,28,2018-07-13,1.09,1,0
21073208,Easy life,56823716,Jemima,,Uccle,50.81433,4.34983,Private room,35,1,25,2019-03-10,0.96,1,0
